time,mass,momentum,energy,entropy,temperature,heat flux,4th moment,5th moment,6th moment,7th moment,L1 norm,L2 norm,L3 norm,Linfinity norm,minimum,rank
0.0,0.9999999999999998,1.8292041626050405e-18,0.7690640663975425,3.261789576339434,1.5182337649085982,-7.015142463173716e-18,4.227973122271858,2.6930218875497584e-17,16.6159496146532,2.3421282747083537e-16,0.9999999999999998,0.21301448597854014,0.13625161346627074,0.08389056905010656,9.973782119945513e-15,13
0.010000000000000005,0.9999999999999913,-8.912365262770685e-16,0.7690640664018575,3.2617889513429583,1.5182266364024766,-1.8527575171766938e-16,4.227933895455039,2.5658626970088277e-15,16.61571968264969,2.39115232605544e-14,0.9999999999999913,0.21301457248805108,0.13625169616408947,0.0838891012927894,9.96996816705534e-15,13
0.020000000000000014,0.9999999999999777,-1.821563411311686e-15,0.769064066433465,3.261788326357614,1.518205594240245,1.3431062631432539e-15,4.2278182517946075,1.4033523285496632e-14,16.61504227584278,9.22827352728417e-14,0.9999999999999777,0.21301465899627753,0.13625177886087247,0.0838905984129448,9.960423986589983e-15,13
0.030000000000000023,0.9999999999999655,-2.844024928755351e-15,0.7690640665203318,3.261787701405803,1.5181706680242175,1.706404623451254e-15,4.227626393964946,2.1013118816585324e-14,16.613918817234687,1.449103695112114e-13,0.9999999999999655,0.2130147455009278,0.13625186155483576,0.08389039403130437,9.943919831618461e-15,13
0.04000000000000003,0.9999999999999526,-3.897483616903787e-15,0.7690640666903523,3.261787076509833,1.5181219074866281,2.5731692032118433e-15,4.227358662350209,2.925067008269569e-14,16.612351696151546,1.9875282517879678e-13,0.9999999999999526,0.2130148319997168,0.1362519442442014,0.08389037590446381,9.92207465270129e-15,13
0.05000000000000004,0.9999999999999315,-4.831992621236354e-15,0.7690640669713151,3.2617864516918917,1.5180593824154847,2.3592002104059345e-15,4.227015534448452,3.0634688037191327e-14,16.610344263483608,2.0665080432448468e-13,0.9999999999999315,0.2130149184903668,0.1362520269271973,0.08389143512544642,9.89507502608132e-15,13
0.060000000000000046,0.9999999999999167,-5.914270334865697e-15,0.7690640673908841,3.261785826974082,1.5179831825502403,1.8425677108212246e-15,4.226597624033225,3.0887076750418796e-14,16.607900824989436,2.1466056471415584e-13,0.9999999999999167,0.2130150049706175,0.13625210960206416,0.08388989680987945,9.862235521756651e-15,13
0.07000000000000005,0.9999999999999087,-6.750853436649721e-15,0.7690640679765435,3.26178520237829,1.5178934174473728,3.2671992010718104e-15,4.22610568007415,3.9683344501065254e-14,16.605026632679667,2.640306593151842e-13,0.9999999999999087,0.2130150914382223,0.13625219226705432,0.08389221991024766,9.823807988993939e-15,13
0.08000000000000006,0.9999999999998869,-7.641620389036655e-15,0.769064068755557,3.261784577926138,1.5177902163162116,4.2122812941684795e-15,4.225540585419169,4.69122489335852e-14,16.60172787430257,3.0902055003431683e-13,0.9999999999998869,0.2130151778909498,0.13625227492043276,0.08389145443954019,9.781017297457173e-15,13
0.09000000000000007,0.99999999999987,-8.72476122923925e-15,0.7690640697549762,3.2617839536390982,1.5176737278253998,3.292962555195497e-15,4.224903355241442,4.581099768193736e-14,16.598011660958644,3.1287629822032703e-13,0.99999999999987,0.21301526432659884,0.1362523575604872,0.08389274066749036,9.733695629473718e-15,13
0.10000000000000007,0.9999999999998596,-9.718495200760312e-15,0.7690640710015677,3.261783329538315,1.5175441198800992,2.691772450552285e-15,4.224195135253616,4.6357150973799777e-14,16.59388601287162,3.176993715846288e-13,0.9999999999998596,0.21301535074299088,0.13625244018552382,0.08389324057688118,9.68119947093874e-15,13
0.11000000000000008,0.9999999999998489,-1.0663741618248748e-14,0.7690640725217829,3.2617827056445963,1.5174015793705684,3.27637087382468e-15,4.223417199693924,5.261096462996773e-14,16.58935984335396,3.5794170362077327e-13,0.9999999999998489,0.21301543713797508,0.1362525227938709,0.08389298669933873,9.625460897317976e-15,13
0.12000000000000009,0.999999999999829,-1.1619050787150566e-14,0.7690640743417333,3.2617820819784002,1.5172463118925317,4.387539187218972e-15,4.222570949088347,6.195910483893646e-14,16.58444294100489,4.180692792822571e-13,0.999999999999829,0.21301552350942948,0.13625260538387948,0.08389475274175019,9.566004017368222e-15,13
0.1305000000000001,0.9999999999998103,-1.2677626824849839e-14,0.7690640766034493,3.261781427395767,1.5170698289800217,5.063027633863543e-15,4.221610531480784,6.937304192471822e-14,16.578871325727995,4.643743072366147e-13,0.9999999999998103,0.21301561417185738,0.136252692081884,0.08389328574664251,9.499581843857208e-15,13
0.1405000000000001,0.9999999999997918,-1.35695576005063e-14,0.7690640791179242,3.261780804258379,1.5168891912374967,5.595550471538743e-15,4.2206291330832935,7.643350199721538e-14,16.57318761086407,5.137689861219041e-13,0.9999999999997918,0.2130157004886119,0.1362527746292778,0.08389604812138043,9.434008009646327e-15,13
0.1505000000000001,0.9999999999997732,-1.4435391291057857e-14,0.7690640820093737,3.261780181408458,1.5166965657837352,6.24288693114837e-15,4.219584444548779,8.227530527531168e-14,16.567148212510286,5.514492942143567e-13,0.9999999999997732,0.2130157867756082,0.13625285715349658,0.08389584265549542,9.36557742235406e-15,13
0.16050000000000011,0.9999999999997605,-1.539933680788988e-14,0.7690640853022208,3.2617795588647382,1.5164922305496473,7.813746801281149e-15,4.21847835054699,9.353310498078776e-14,16.560766247349378,6.167596273108644e-13,0.9999999999997605,0.21301587303089053,0.13625293965302251,0.08389703254586758,9.295062166734964e-15,13
