time,mass,momentum,energy,entropy,temperature,heat flux,4th moment,5th moment,6th moment,7th moment,L1 norm,L2 norm,L3 norm,Linfinity norm,minimum,rank
16.707000000006413,0.9999999999757292,-1.004999780770087e-13,0.2599493191685671,2.827292062954379,0.5198407872689542,1.3691458461978244e-5,0.7960764004950898,7.415472276005583e-5,2.004969814082411,0.0004143503579397853,1.0022195462342045,0.26261949168334414,0.18022337222232682,0.13297178615863556,-0.0014009391910379109,13
16.71750000000639,0.9999999999757117,-1.0057723425806187e-13,0.25994931924986076,2.827553818516036,0.5198424190917518,1.376559316501752e-5,0.7960812225246754,7.404068798459524e-5,2.004985764435927,0.00041130107296490976,1.0021768645530418,0.26272078852228153,0.18034301838666342,0.13303878901577623,-0.0013700463943345847,13
16.728000000006364,0.999999999975693,-1.0065102438029487e-13,0.25994931932881504,2.8278188039701337,0.5198440637090064,1.3825666123712734e-5,0.7960860160672489,7.380232479995211e-5,2.005001423186313,0.00040739459067845146,1.0021341221040727,0.2628216117965104,0.18046209974138708,0.13310459880716582,-0.0013397170828975153,13
16.73850000000634,0.9999999999756832,-1.0071850241300494e-13,0.2599493194054071,2.8280871485500443,0.5198457179315772,1.3871828082265964e-5,0.796090770231298,7.344267060985803e-5,2.005016751824197,0.00040265984777462094,1.0020913197953625,0.26292193142151393,0.18058058390224713,0.13317118167900685,-0.0013088261127189936,13
16.749000000006316,0.9999999999756646,-1.0078799977226126e-13,0.2599493194796117,2.8283573396697532,0.5198473786019704,1.3904266420806551e-5,0.7960954744595127,7.296519130601739e-5,2.005031713964118,0.0003971291375275969,1.002048588139932,0.26302171785947986,0.18069843910458824,0.13323859528061913,-0.0012775705699264992,13
16.75950000000629,0.9999999999756478,-1.0084804424382622e-13,0.25994931955141654,2.8286302359565627,0.5198490426030038,1.3923205772103125e-5,0.7961001185565859,7.237377653169953e-5,2.005046275392193,0.0003908380072103979,1.0020058855699443,0.2631209421317669,0.18081563421292574,0.13330478107650484,-0.0012466912144951411,13
16.770000000006267,0.9999999999756333,-1.0092207831154804e-13,0.2599493196208111,2.8289057134966864,0.5198507068661342,1.3928907734515727e-5,0.7961046927148334,7.16727253595421e-5,2.0050604040995115,0.0003838250902861215,1.0019632169478068,0.2632195758308176,0.18093213872995875,0.13336974103432403,-0.0012150990356646237,13
16.780500000006242,0.9999999999756229,-1.0098485361733495e-13,0.25994931968778995,2.829182133026742,0.5198523683795085,1.3921669681369608e-5,0.7961091875383627,7.086672285006492e-5,2.005074070312092,0.0003761318785698589,1.0019207321100685,0.2633175911315492,0.18104792280504858,0.133433477534545,-0.0011837393931469977,13
16.791000000006218,0.9999999999756053,-1.0106522349150222e-13,0.25994931975234886,2.829460513635829,0.5198540241956593,1.3901822734478597e-5,0.796113594066118,6.99608084187722e-5,2.0050872465242664,0.00036780243946129773,1.001878352039492,0.2634149608022003,0.18116295724215575,0.13349599330250833,-0.0011521607641756069,13
16.801500000006193,0.9999999999755895,-1.0114254743519117e-13,0.25994931981449404,2.829739996713986,0.5198556714388765,1.3869729063084486e-5,0.796117903793957,6.896033769505966e-5,2.0050999075384275,0.00035888308750436194,1.0018361473299588,0.2635116582146427,0.18127721350723902,0.13355729134782093,-0.0011200675513969782,13
16.81200000000617,0.9999999999755781,-1.0122122663159573e-13,0.25994931987423403,2.830017534412129,0.5198573073121651,1.3825778740358576e-5,0.7961221086955583,6.7870940203415e-5,2.005112030510289,0.0003494220247510998,1.0017943578941677,0.26360765735413294,0.18139066373511273,0.13361737491430498,-0.0010885126233987944,13
16.822500000006144,0.999999999975569,-1.0130027852249708e-13,0.2599493199315807,2.8302930610269903,0.5198589291038278,1.377038641115538e-5,0.7961262012419573,6.669847539300199e-5,2.0051235949967414,0.0003394689670993987,1.0017529806892869,0.263702932828524,0.1815032807357875,0.13367624744153614,-0.0010562243277830545,13
16.83300000000612,0.999999999975559,-1.0138651664092294e-13,0.2599493199865501,2.8305719031268937,0.5198605341936346,1.3703988004710291e-5,0.7961301744193561,6.54489893404709e-5,2.005134583001989,0.0003290747736937952,1.001711616638239,0.26379745987692443,0.18161503800026466,0.13373600991667062,-0.0010242526743636895,13
16.843500000006095,0.9999999999755477,-1.0143987294033638e-13,0.25994932003916227,2.8308544271801983,0.5198621200585674,1.3627037670660897e-5,0.7961340217448798,6.412867385813004e-5,2.0051449790174503,0.00031829109289802,1.0016702604349357,0.26389121437781005,0.18172590970579544,0.13379608262781115,-0.000991992604972101,13
16.85400000000607,0.9999999999755315,-1.0152141510810266e-13,0.25994932008944166,2.8311405216474568,0.519863684278123,1.354000502199742e-5,0.7961377372799887,6.274382888533632e-5,2.0051547700516,0.00030717003277634636,1.0016289190652696,0.26398417285658426,0.18183587072065197,0.13385491747209347,-0.000959480339932235,13
16.864500000006046,0.9999999999755115,-1.0159016030210181e-13,0.25994932013741684,2.8314282201842604,0.5198652245391716,1.3443372708031584e-5,0.7961413156413707,6.130082836526158e-5,2.00516394564684,0.00029576385878907923,1.0015877705068401,0.2640763124925945,0.18194489660840574,0.1339125185172796,-0.000927260434481348,13
16.875000000006022,0.9999999999754952,-1.0167448751419866e-13,0.25994932018312206,2.8317195850980514,0.5198667386403586,1.3337634267983087e-5,0.7961447520091738,5.980608918003703e-5,2.005172497881596,0.00028412471675307423,1.0015466515067086,0.2641676111255995,0.1820529636317112,0.133968890000244,-0.0008942964974341338,13
16.885500000005997,0.9999999999754863,-1.0174231113635121e-13,0.2599493202265938,2.8320127832370643,0.5198682244960339,1.3223292188326796e-5,0.7961480421325465,5.8266042420364165e-5,2.005180421356939,0.00027230437650445805,1.001505713305372,0.26425804726169283,0.1821600487556055,0.1340240363267845,-0.0008621292618048238,13
16.896000000005973,0.9999999999754696,-1.0182784452336495e-13,0.25994932026786755,2.8323090743346193,0.5198696801397142,1.310085607536904e-5,0.7961511823324965,5.668710621571404e-5,2.0051877131678983,0.0002603539911348467,1.0014648569856341,0.26434760007868263,0.18226612965033226,0.1340779620712279,-0.0008292065317132444,13
