time,mass,momentum,energy,entropy,temperature,heat flux,4th moment,5th moment,6th moment,7th moment,L1 norm,L2 norm,L3 norm,Linfinity norm,minimum
2.3106049999971097,1.0000000003380498,6.289821675582968e-12,0.2599472036816071,2.8437799672783886,0.5162116187461223,-1.2303357944530753e-11,0.7979034389304114,-2.222421284343531e-10,2.0439533582771903,-5.463869935651549e-10,1.0000000003604337,0.2672792860349087,0.1853936530526818,0.13496939524680035,-1.8374367314608554e-11
2.31560999999692,1.000000000338795,6.300123435977142e-12,0.25994720370530056,2.843777998026374,0.5162559527789534,-1.2348510180125655e-11,0.7979613075095332,-2.2380571963693868e-10,2.043990568551989,-5.697070552942649e-10,1.0000000003622551,0.26727925996357355,0.18539295920702104,0.1349731384927206,-1.9003301562669625e-11
2.3206149999967307,1.000000000339513,6.3102361877453994e-12,0.2599472037287294,2.8437760771162846,0.5162999486302587,-1.2390454146295692e-11,0.7980181835949848,-2.2534299228579684e-10,2.0440256369165057,-5.930307814369824e-10,1.00000000036409,0.26727923569819495,0.18539227343813736,0.13497688977612557,-1.9659002762010192e-11
2.3256199999965412,1.000000000340203,6.322752634364782e-12,0.25994720375189234,2.8437742037606566,0.5163436062187663,-1.2424789483162955e-11,0.7980740763767047,-2.2684317942665063e-10,2.044058626224052,-6.163254290876986e-10,1.0000000003659206,0.2672792132947536,0.18539159579915337,0.13498064880425392,-2.03213321462677e-11
2.3306249999963518,1.0000000003409484,6.333211893759234e-12,0.2599472037748153,2.8437723773589276,0.5163869255016645,-1.245866935347382e-11,0.7981289951341927,-2.2832314204991426e-10,2.044089599267473,-6.396358568402493e-10,1.0000000003678924,0.2672791926242851,0.18539092591516018,0.13498441531671881,-2.1028631060725137e-11
2.3356299999961623,1.0000000003416805,6.347150920355069e-12,0.2599472037974805,2.843770596991083,0.5164299064741512,-1.2481624096269243e-11,0.7981829492335851,-2.2975335789963709e-10,2.0441186187628206,-6.62847388712166e-10,1.000000000369863,0.2672791738727274,0.1853902641375615,0.1349881890278902,-2.1734026308983912e-11
2.340634999995973,1.0000000003424374,6.358900088955445e-12,0.2599472038198984,2.8437688619622414,0.51647254916926,-1.2501609874235092e-11,0.798235948125175,-2.3115355607400282e-10,2.044145747333388,-6.860281126540909e-10,1.000000000371894,0.26727915700470806,0.18538961030546788,0.13499196967947902,-2.2451126218771263e-11
2.3456399999957833,1.000000000343131,6.369450363734146e-12,0.25994720384205,2.8437671715077832,0.5165148536574301,-1.2512534735782189e-11,0.7982880013405355,-2.325040832605596e-10,2.0441710474942294,-7.091051315740154e-10,1.0000000003738896,0.2672791420539921,0.18538896441654085,0.13499575695391436,-2.3181469731491593e-11
2.350644999995594,1.0000000003438425,6.382672507383204e-12,0.2599472038639569,2.84376552518999,0.5165568200463186,-1.251372305778565e-11,0.7983391184900197,-2.338065199279193e-10,2.0441945816370173,-7.320757203297789e-10,1.000000000376056,0.26727912874469506,0.18538832576056224,0.13499955057487625,-2.399060553634691e-11
2.3556499999954044,1.000000000344613,6.394826019019413e-12,0.25994720388563003,2.843763921862902,0.5165984484803733,-1.2505748823651852e-11,0.7983893092599212,-2.3505728752451016e-10,2.044216412013168,-7.549198542493567e-10,1.0000000003782699,0.26727911747982125,0.18538769517840198,0.1350033502987077,-2.4784113325759506e-11
2.360654999995215,1.0000000003453684,6.406263340581796e-12,0.2599472039070534,2.8437623607607816,0.5166397391404649,-1.2496493429315443e-11,0.7984385834097134,-2.3628467033713716e-10,2.0442366007201813,-7.777399693503165e-10,1.0000000003804481,0.2672791082969717,0.1853870726720481,0.13500715585338227,-2.5560541981596255e-11
2.3656599999950254,1.000000000346093,6.4185436767671316e-12,0.25994720392822257,2.8437608415668167,0.5166806922436287,-1.2477671777009884e-11,0.7984869507694722,-2.3746108308446466e-10,2.044255209685386,-8.004253685908475e-10,1.0000000003827445,0.2672791008168607,0.18538645729741285,0.1350109669006828,-2.6415627502914487e-11
2.370664999994836,1.0000000003469163,6.429318882839041e-12,0.25994720394917326,2.843759363222917,0.5167213080427792,-1.2455356508514254e-11,0.7985344212372686,-2.38605839195116e-10,2.0442723006518846,-8.230490159582323e-10,1.0000000003851595,0.26727909536099376,0.18538584970258604,0.13501478321001917,-2.7279317206416497e-11
2.3756699999946465,1.000000000347699,6.440795999703352e-12,0.25994720396987236,2.843757925064389,0.5167615868261503,-1.2424006255513551e-11,0.7985810047761496,-2.3970029230940696e-10,2.044287935162801,-8.455309658537188e-10,1.0000000003875806,0.2672790918829433,0.1853852496986929,0.1350186044931644,-2.8171960969741888e-11
2.380674999994457,1.0000000003484664,6.449565379240121e-12,0.25994720399032717,2.8437565264233835,0.5168015289171584,-1.2392212272444969e-11,0.7986267114117885,-2.407709434251856e-10,2.0443021745472736,-8.679625511430564e-10,1.000000000390065,0.2672790903450231,0.18538465711715776,0.13502243047168316,-2.9096239727507684e-11
2.3856799999942675,1.0000000003492449,6.461358176813544e-12,0.2599472040105458,2.8437551665054928,0.5168411346739764,-1.2354548468789493e-11,0.7986715512296721,-2.418051646025797e-10,2.0443150799058674,-8.903003275199332e-10,1.000000000392616,0.26727909082924545,0.18538407205864055,0.13502626087645866,-3.0038144724496895e-11
2.390684999994078,1.0000000003500578,6.471560038141919e-12,0.2599472040305358,2.8437538445394717,0.516880404489172,-1.2309658162886936e-11,0.7987155343724316,-2.4279270864028136e-10,2.0443267120967357,-9.1249765331162e-10,1.0000000003952325,0.2672790933999416,0.18538349458245199,0.13503009544109637,-3.0991278549475636e-11
